metric_type,metric
accuracy,0.9714285714285714
AU_ROC,0.9782608695652174
f1_score,0.9777777777777777
average_precision_score,0.9850931677018634
f_beta,0.9777777777777777
matthews_correlation_coefficient,0.9396505434536336
precision,1.0
recall,0.9565217391304348
true_positive_rate_TPR,0.9565217391304348
false_positive_rate_FPR,0.0
false_discovery_rate,0.0
false_negative_rate,0.043478260869565216
negative_predictive_value,0.9230769230769231
misclassification_error_rate,0.02857142857142857
sensitivity,0.9565217391304348
specificity,1.0
TP,22.0
FP,0.0
FN,1.0
TN,12.0
