mlp_expvarobj_data1_expvals,mlp_expvarobj_data1_msevals,mlp_expvarobj_data2_expvals,mlp_expvarobj_data2_msevals,mlp_expvarobj_data3_expvals,mlp_expvarobj_data3_msevals,mlp_mselossobj_data1_expvals,mlp_mselossobj_data1_msevals,mlp_mselossobj_data2_expvals,mlp_mselossobj_data2_msevals,mlp_mselossobj_data3_expvals,mlp_mselossobj_data3_msevals
0.42998,0.01758,0.38029,0.01847,0.6521,0.00944,0.42998,0.01758,0.38029,0.01847,0.6521,0.00944
-192162.31235,5757.70359,-84092.90926,2657.14392,-20914.35102,596.46616,-192162.31235,5757.70359,-84092.90926,2657.14392,-20914.35102,596.46616
-0.0,0.78961,0.0,0.72684,0.0,0.36148,-0.0,0.78961,0.0,0.72684,0.0,0.36148
-31.94325,1.10034,-15.58431,0.68532,-25.47657,0.87633,-31.94325,1.10034,-15.58431,0.68532,-25.47657,0.87633
,,,,,,,,,,,
-0.0,0.79708,0.0,0.8869,0.0,0.35859,-0.0,0.79708,0.0,0.8869,0.0,0.35859
0.48551,0.01553,0.39434,0.01815,0.64846,0.00951,0.48551,0.01553,0.39434,0.01815,0.64846,0.00951
0.37216,0.01895,0.31682,0.02052,0.47,0.01444,0.37216,0.01895,0.31682,0.02052,0.47,0.01444
0.48214,0.01601,0.35774,0.0193,0.65708,0.00927,0.48214,0.01601,0.35774,0.0193,0.65708,0.00927
,,,,,,,,,,,
0.50049,0.01529,0.39556,0.01809,0.67071,0.00884,0.50049,0.01529,0.39556,0.01809,0.67071,0.00884
0.49059,0.01543,0.37818,0.01844,0.66451,0.00905,0.49059,0.01543,0.37818,0.01844,0.66451,0.00905
0.51336,0.01472,0.39106,0.01796,0.66608,0.00897,0.51336,0.01472,0.39106,0.01796,0.66608,0.00897
0.50582,0.01502,0.39232,0.018,0.66674,0.00896,0.50582,0.01502,0.37833,0.01839,0.66674,0.00896
0.5151,0.01473,0.20929,0.02394,0.6697,0.00887,0.5151,0.01473,0.38863,0.01805,0.6697,0.00887
0.48717,0.01558,0.3757,0.01846,0.65211,0.00947,0.48717,0.01558,0.40143,0.01776,0.65211,0.00947
-15.80031,0.49569,-0.20468,0.03665,-5.17529,0.17046,-15.80031,0.49569,-1.22712,0.07531,-5.17529,0.17046
-0.03766,0.03224,0.40876,0.01752,0.65234,0.00938,-0.03766,0.03224,0.02596,0.02962,0.65234,0.00938
0.51344,0.015,0.40869,0.01759,0.67143,0.00885,0.51344,0.015,0.40619,0.01756,0.67143,0.00885
0.51596,0.01497,0.40377,0.01764,0.67007,0.00886,0.52263,0.01455,0.37736,0.01849,0.67007,0.00886
0.47343,0.01603,0.39033,0.01804,0.67425,0.00878,0.51342,0.01502,0.35637,0.01945,0.67425,0.00878
0.51234,0.01492,0.39719,0.01784,0.66984,0.00886,0.51119,0.0149,0.39774,0.0178,0.66984,0.00886
0.49077,0.01563,0.39773,0.01772,0.66901,0.00893,0.51491,0.01492,0.39846,0.01793,0.66901,0.00893
0.52082,0.01476,0.40697,0.01762,0.66973,0.00888,0.51974,0.01458,0.39092,0.018,0.66973,0.00888
0.48192,0.01589,,,,,0.51719,0.01474,0.38769,0.01821,,
,,0.40273,0.01763,,,,,,,,
0.51826,0.01457,,,0.66776,0.00891,0.52426,0.01445,0.40197,0.01762,0.66776,0.00891
